team,letters_long,letters_short,name,roster,schedule,stats,team_page
Atlanta Dream,atlanta-dream,atl,Atlanta Dream,http://www.espn.com/wnba/team/roster/_/name/atl/atlanta-dream,http://www.espn.com/wnba/team/schedule/_/name/atl/atlanta-dream,http://www.espn.com/wnba/team/stats/_/name/atl/atlanta-dream,http://www.espn.com/wnba/team/_/name/atl/atlanta-dream
Chicago Sky,chicago-sky,chi,Chicago Sky,http://www.espn.com/wnba/team/roster/_/name/chi/chicago-sky,http://www.espn.com/wnba/team/schedule/_/name/chi/chicago-sky,http://www.espn.com/wnba/team/stats/_/name/chi/chicago-sky,http://www.espn.com/wnba/team/_/name/chi/chicago-sky
Connecticut Sun,connecticut-sun,conn,Connecticut Sun,http://www.espn.com/wnba/team/roster/_/name/conn/connecticut-sun,http://www.espn.com/wnba/team/schedule/_/name/conn/connecticut-sun,http://www.espn.com/wnba/team/stats/_/name/conn/connecticut-sun,http://www.espn.com/wnba/team/_/name/conn/connecticut-sun
Indiana Fever,indiana-fever,ind,Indiana Fever,http://www.espn.com/wnba/team/roster/_/name/ind/indiana-fever,http://www.espn.com/wnba/team/schedule/_/name/ind/indiana-fever,http://www.espn.com/wnba/team/stats/_/name/ind/indiana-fever,http://www.espn.com/wnba/team/_/name/ind/indiana-fever
New York Liberty,new-york-liberty,ny,New York Liberty,http://www.espn.com/wnba/team/roster/_/name/ny/new-york-liberty,http://www.espn.com/wnba/team/schedule/_/name/ny/new-york-liberty,http://www.espn.com/wnba/team/stats/_/name/ny/new-york-liberty,http://www.espn.com/wnba/team/_/name/ny/new-york-liberty
Washington Mystics,washington-mystics,wsh,Washington Mystics,http://www.espn.com/wnba/team/roster/_/name/wsh/washington-mystics,http://www.espn.com/wnba/team/schedule/_/name/wsh/washington-mystics,http://www.espn.com/wnba/team/stats/_/name/wsh/washington-mystics,http://www.espn.com/wnba/team/_/name/wsh/washington-mystics
Dallas Wings,dallas-wings,dal,Dallas Wings,http://www.espn.com/wnba/team/roster/_/name/dal/dallas-wings,http://www.espn.com/wnba/team/schedule/_/name/dal/dallas-wings,http://www.espn.com/wnba/team/stats/_/name/dal/dallas-wings,http://www.espn.com/wnba/team/_/name/dal/dallas-wings
Los Angeles Sparks,los-angeles-sparks,la,Los Angeles Sparks,http://www.espn.com/wnba/team/roster/_/name/la/los-angeles-sparks,http://www.espn.com/wnba/team/schedule/_/name/la/los-angeles-sparks,http://www.espn.com/wnba/team/stats/_/name/la/los-angeles-sparks,http://www.espn.com/wnba/team/_/name/la/los-angeles-sparks
Minnesota Lynx,minnesota-lynx,min,Minnesota Lynx,http://www.espn.com/wnba/team/roster/_/name/min/minnesota-lynx,http://www.espn.com/wnba/team/schedule/_/name/min/minnesota-lynx,http://www.espn.com/wnba/team/stats/_/name/min/minnesota-lynx,http://www.espn.com/wnba/team/_/name/min/minnesota-lynx
Phoenix Mercury,phoenix-mercury,phx,Phoenix Mercury,http://www.espn.com/wnba/team/roster/_/name/phx/phoenix-mercury,http://www.espn.com/wnba/team/schedule/_/name/phx/phoenix-mercury,http://www.espn.com/wnba/team/stats/_/name/phx/phoenix-mercury,http://www.espn.com/wnba/team/_/name/phx/phoenix-mercury
San Antonio Stars,san-antonio-stars,sa,San Antonio Stars,http://www.espn.com/wnba/team/roster/_/name/sa/san-antonio-stars,http://www.espn.com/wnba/team/schedule/_/name/sa/san-antonio-stars,http://www.espn.com/wnba/team/stats/_/name/sa/san-antonio-stars,http://www.espn.com/wnba/team/_/name/sa/san-antonio-stars
Seattle Storm,seattle-storm,sea,Seattle Storm,http://www.espn.com/wnba/team/roster/_/name/sea/seattle-storm,http://www.espn.com/wnba/team/schedule/_/name/sea/seattle-storm,http://www.espn.com/wnba/team/stats/_/name/sea/seattle-storm,http://www.espn.com/wnba/team/_/name/sea/seattle-storm
